scoutId,regio1,regio2,regio3,geo_plz,baseRent,totalRent,serviceCharge,heatingCosts,livingSpace,noRooms,yearConstructed,condition,typeOfFlat,energyEfficiencyClass,heatingType,pricetrend,newlyConst,balcony,lift,cellar,garden,hasKitchen,date
107310376,Berlin,Berlin,Spandau_Spandau,13589,850.73,1107.87,257.14,79.55,88.09,3.5,1964.0,modernized,apartment,,district_heating,7.59,False,True,True,False,False,False,Sep18
113781254,Hessen,Darmstadt,Arheilgen,64291,550.0,730.0,180.0,,55.0,3.0,1964.0,modernized,roof_storey,,central_heating,3.7,False,True,False,False,False,True,Oct19
113362874,Sachsen,Mittelsachsen_Kreis,Freiberg,9599,354.0,,75.0,80.0,59.0,3.0,1974.0,,apartment,C,,1.18,False,False,False,True,False,False,Oct19
101321943,Brandenburg,Teltow_Fläming_Kreis,Jüterbog,14913,450.0,570.0,120.0,0.0,74.0,3.0,,refurbished,apartment,,self_contained_central_heating,3.51,False,False,False,True,True,False,Sep18
106638678,Nordrhein_Westfalen,Düsseldorf,Kaiserswerth,40489,1750.0,,270.0,,125.0,4.0,1970.0,modernized,penthouse,E,central_heating,3.64,False,True,False,True,False,True,Sep18
112787248,Mecklenburg_Vorpommern,Stralsund,Knieper_West,18435,314.0,499.0,60.0,125.0,60.0,3.0,1971.0,well_kept,apartment,C,central_heating,1.44,False,True,False,True,False,False,Oct19
113826430,Berlin,Berlin,Adlershof_Treptow,12489,598.91,819.0,115.0,105.09,65.17,2.0,1996.0,negotiable,roof_storey,,central_heating,6.64,False,True,True,False,False,False,Oct19
68123874,Sachsen,Leipzig,Grünau_Nord,4205,318.0,438.0,120.0,60.0,63.7,3.0,1982.0,,apartment,,district_heating,3.07,False,True,False,False,False,False,Oct19
108655709,Baden_Württemberg,Karlsruhe,Südweststadt,76137,500.0,,70.0,40.0,33.0,1.0,1968.0,first_time_use_after_refurbishment,apartment,,district_heating,3.96,False,True,True,False,False,True,May19
106854681,Bremen,Bremen,Blumenthal,28779,371.51,511.51,140.0,,64.61,3.0,1958.0,,apartment,,,4.76,False,False,False,False,False,False,Sep18
113865777,Brandenburg,Barnim_Kreis,Eberswalde,16225,475.0,625.0,70.0,80.0,61.38,3.0,1964.0,,,,,4.2,False,True,False,True,False,False,Oct19
95078731,Nordrhein_Westfalen,Essen,Stoppenberg,45141,463.0,658.0,120.0,75.0,77.1,2.5,1922.0,well_kept,apartment,,central_heating,3.51,False,False,False,True,False,False,Oct19
115255308,Rheinland_Pfalz,Alzey_Worms_Kreis,Gau_Bickelheim,55599,875.0,1050.0,175.0,,120.0,3.0,1975.0,modernized,apartment,,central_heating,4.21,False,True,False,False,False,True,Feb20
115472307,Sachsen_Anhalt,Dessau_Roßlau,Innerstädtischer_Bereich_Süd,6842,350.0,514.0,164.0,,60.0,2.0,,refurbished,other,,district_heating,1.91,False,True,False,False,False,False,Feb20
110874243,Bayern,Pfaffenhofen_an_der_Ilm_Kreis,Baar_Ebenhausen,85107,880.0,,150.0,,80.0,3.0,2019.0,first_time_use,ground_floor,A,floor_heating,4.69,True,True,False,False,True,False,May19
93262534,Sachsen,Görlitz,Innenstadt,2826,200.0,,90.0,,47.0,2.0,1930.0,fully_renovated,apartment,C,central_heating,1.89,False,False,False,True,False,False,Oct19
111408089,Bayern,Neu_Ulm_Kreis,Senden,89250,780.0,960.0,180.0,,87.0,3.0,2007.0,mint_condition,other,NO_INFORMATION,central_heating,4.67,False,True,True,True,False,True,May19
106919328,Niedersachsen,Braunschweig,Westliches_Ringgebiet,38114,929.0,1129.0,200.0,,79.69,3.0,2018.0,first_time_use,,A,district_heating,1.44,True,True,True,True,False,True,Sep18
